a;b;c
-6098.50; -6897.59; -6891.04
2791.98; 2993.44; 2999.98
5674.18; 5739.37; 5759.01
53.49; -67.48; 70.64
-2367.85; -2384.50; -2531.38
-6586.98; -6886.44; -6959.88
2775.25; 2600.65; 2527.21
5833.97; 5842.44; 5622.11
-265.62; -47.88; -192.58
-2593.78; -3224.03; -3543.37
-6947.37; -6165.71; -6325.38
2471.74; 1722.26; 1562.59
5711.95; 5010.09; 4531.08
-575.66; -394.58; -462.67
-1859.63; -1832.72; -1459.47
-6571.83; -5870.12; -5683.50
3540.98; 2394.32; 2580.94
5697.81; 6079.85; 6639.72
596.54; 455.96; 509.28
-3686.50; -3960.83; -5023.19
-6811.94; -6706.32; -7237.50
664.84; 1857.25; 1326.07
4604.86; 4003.11; 2409.57
-1553.78; -977.23; -1638.84
-1147.13; -1161.12; -39.88
-6361.54; -6382.18; -5821.56
4483.70; 3145.06; 3705.68
6200.17; 6970.32; 8652.17
1625.21; 1127.56; 1702.22
-2608.03; -2796.70; -2878.94
-6662.30; -6389.66; -6430.78
2400.16; 2296.40; 2255.28
5636.40; 5067.48; 4944.12
-223.03; -165.18; -93.87
-1844.67; -2241.86; -1520.59
-6350.50; -6165.99; -5805.35
3105.54; 3490.19; 3850.82
6112.85; 6513.00; 7594.91
1131.19; 820.44; 1101.54
-1951.85; -1420.41; -474.18
-6062.64; -6252.04; -5778.92
3440.58; 3743.54; 4216.65
5646.74; 6743.14; 8162.48
1394.53; 995.28; 1375.62
-1442.92; -1738.81; -774.92
-5787.92; -6292.76; -5810.82
3573.51; 3469.30; 3951.24
6274.25; 6807.36; 8253.19
1537.32; 883.23; 1437.97
-3302.27; -3282.05; -3674.03
-6256.97; -6624.45; -6820.44
2119.06; 1754.33; 1558.34
5292.00; 5042.53; 4454.57
-599.59; -340.25; -662.72
-2765.35; -2045.10; -1971.54
-6312.71; -6098.16; -6061.38
2636.58; 2465.35; 2502.13
5098.68; 5561.99; 5672.34
176.20; 111.21; 66.59
-3032.66; -2624.75; -2829.43
-6768.86; -6585.08; -6687.42
2459.15; 2750.03; 2647.69
4945.86; 4812.40; 4505.38
-209.32; -210.34; -289.54
-3134.24; -2568.68; -3128.14
-6918.40; -6464.17; -6743.90
2111.54; 2429.55; 2149.82
5002.80; 4605.44; 3766.25
-850.02; -558.59; -857.30
-2179.80; -1891.13; -1588.26
-6580.20; -6461.61; -6310.18
3373.28; 2895.68; 3047.11
5721.59; 5506.75; 5961.04
421.23; 346.57; 427.56
-3331.48; -2901.45; -3531.85
-7203.08; -7174.91; -7490.11
1106.33; 2336.10; 2020.90
5632.23; 4466.38; 3520.78
-977.41; -532.71; -925.63
-4085.34; -4109.70; -5263.23
-7375.67; -7225.60; -7802.37
1200.92; 1361.18; 784.42
5307.64; 4063.89; 2333.59
-1757.52; -1209.04; -1698.35
